"article_cond","SID","item","n","comment"
"control","s362","12",NA,NA
"control","s362","9",NA,NA
"control","s363","1",NA,NA
"control","s363","2",NA,NA
"control","s363","3",NA,NA
"control","s363","4",NA,NA
"control","s364","5",11,"About marketing climate consciousness and making it more of a priority."
"control","s364","6",24,"The article debunks what we think is ok about the climate because none of it is ok and we should know this by now."
"control","s364","7",20,"This article is about figuring out which advertising campaign matches best to the readers sentiment in relation to the election."
"control","s364","8",14,"The article is about historical things being destroyed because of climate change and pollution."
"control","s365","10",13,"Bad hearing can cause you to miss sounds that warn you of danger."
"control","s365","11",14,"We're. nowhere closer to being done with fossil fuels than we were decades ago."
"control","s365","12",12,"Things that can damage the heart are also linked to Parkinson's Disease."
"control","s365","9",9,"We're having a heat wave, one of our worst."
"control","s366","1",NA,NA
"control","s366","2",NA,NA
"control","s366","3",NA,NA
"control","s366","4",NA,NA
"control","s367","10",9,"the article is about how to recycle things properly"
"control","s367","11",8,"The article is about weight training and exercise"
"control","s367","12",9,"Can sports like cycling put your bones at risk"
"control","s367","9",11,"the article is about the dangers  associated with eating processed meat"
"control","s368","5",NA,NA
"control","s368","6",NA,NA
"control","s368","7",NA,NA
"control","s368","8",NA,NA
"control","s369","1",NA,NA
"control","s369","2",NA,NA
"control","s369","3",NA,NA
"control","s369","4",NA,NA
"control","s370","5",10,"It debunks dubious information about the state of polar bears."
"control","s370","6",11,"It's about the negative effects of plastic production on the environment."
"control","s370","7",11,"It's about how walking speed varies with culture and social situation."
"control","s370","8",7,"It's about alternatives to certain cleaning products."
"control","s371","1",NA,NA
"control","s371","2",NA,NA
"control","s371","3",NA,NA
"control","s371","4",NA,NA
"control","s372","5",NA,NA
"control","s372","6",NA,NA
"control","s372","7",NA,NA
"control","s372","8",NA,NA
"control","s373","5",NA,NA
"control","s373","6",NA,NA
"control","s373","7",NA,NA
"control","s373","8",NA,NA
"control","s374","5",NA,NA
"control","s374","6",NA,NA
"control","s374","7",NA,NA
"control","s374","8",NA,NA
"control","s375","10",NA,NA
"control","s375","11",NA,NA
"control","s375","12",NA,NA
"control","s375","9",NA,NA
"control","s376","10",NA,NA
"control","s376","11",NA,NA
"control","s376","12",NA,NA
"control","s376","9",NA,NA
"control","s377","10",NA,NA
"control","s377","11",NA,NA
"control","s377","12",NA,NA
"control","s377","9",NA,NA
"control","s378","5",11,"This article is about the effects of climate change on companies."
"control","s378","6",16,"This article is about people who are romantically involved with someone who has an eating disorder."
"control","s378","7",19,"This is about the effects of going gluten-free or grain-free for people who don't have gluten sensitivities."
"control","s378","8",11,"This article is about sleep apnea and it's potentially deadly consequences."
"control","s379","5",NA,NA
"control","s379","6",NA,NA
"control","s379","7",NA,NA
"control","s379","8",NA,NA
"control","s380","1",NA,NA
"control","s380","2",NA,NA
"control","s380","3",NA,NA
"control","s380","4",NA,NA
"control","s381","1",14,"Cooking can both boost nutrients in food as well as take that level down."
"control","s381","2",13,"Climate change is becoming an issue in various political races around the globe."
"control","s381","3",9,"Fighting illness combines luck, DNA, and one's lifestyle choices."
"control","s381","4",13,"The article looks at three topics: oceanography, climate change, and this coming spring."
"control","s382","5",NA,NA
"control","s382","6",NA,NA
"control","s382","7",NA,NA
"control","s382","8",NA,NA
"control","s383","10",NA,NA
"control","s383","11",NA,NA
"control","s383","12",NA,NA
"control","s383","9",NA,NA
"control","s384","1",NA,NA
"control","s384","2",NA,NA
"control","s384","3",NA,NA
"control","s384","4",NA,NA
"control","s385","1",NA,NA
"control","s385","2",NA,NA
"control","s385","3",NA,NA
"control","s385","4",NA,NA
"control","s386","5",10,"Being overweight is linked to over 7 percent of cancers."
"control","s386","6",10,"There are invasive grasses that might make wildfires more frequent."
"control","s386","7",26,"Researchers are using AI to map the medical history of cancer patients, with the hope that they may be able to predict and treat the disease."
"control","s386","8",17,"Housing is being built the fastest in areas that are prone to flooding, disregarding climate change data."
"control","s387","1",NA,NA
"control","s387","2",NA,NA
"control","s387","3",NA,NA
"control","s387","4",NA,NA
"control","s388","10",NA,NA
"control","s388","11",NA,NA
"control","s388","12",NA,NA
"control","s388","9",NA,NA
"control","s389","1",18,"This articles deals with the struggles of romantic partners to help their loved ones deal with eating disorders."
"control","s389","2",21,"Though we do decline as we age, it may not need to br a steep a decline as it often is."
"control","s389","3",12,"This article examines the impact of non-biodegradable  materials on the environment."
"control","s389","4",15,"Many of the world's largest companies may be facing enormois costs due to climate change."
"control","s390","10",NA,NA
"control","s390","11",NA,NA
"control","s390","12",NA,NA
"control","s390","9",NA,NA
"control","s391","1",NA,NA
"control","s391","2",NA,NA
"control","s391","3",NA,NA
"control","s391","4",NA,NA
"control","s392","5",NA,NA
"control","s392","6",NA,NA
"control","s392","7",NA,NA
"control","s392","8",NA,NA
"control","s393","1",NA,NA
"control","s393","2",NA,NA
"control","s393","3",NA,NA
"control","s393","4",NA,NA
"control","s394","10",NA,NA
"control","s394","11",NA,NA
"control","s394","12",NA,NA
"control","s394","9",NA,NA
"control","s395","10",NA,NA
"control","s395","11",NA,NA
"control","s395","12",NA,NA
"control","s395","9",NA,NA
"control","s396","10",10,"Looks like this article has re-discovered silverware and Tupperware."
"control","s396","11",50,"Another article fear mongering about ""climate change"" and likely pushing for people to either die off (since population growth is *really* the issue no one is acknowledges) or revert to the stone age, rather than focusing on the technology and science that could actually help keep our standard of living."
"control","s396","12",24,"Another group of people wanting others to give up their ""stuff"", while they're probably jetting around the country to lobby for their pet projects."
"control","s396","9",16,"HIIT seems to be the best way to go about exercising, this article helps explain why."
"control","s397","10",NA,NA
"control","s397","11",NA,NA
"control","s397","12",NA,NA
"control","s397","9",NA,NA
"control","s398","1",NA,NA
"control","s398","2",NA,NA
"control","s398","3",NA,NA
"control","s398","4",NA,NA
"control","s399","1",NA,NA
"control","s399","2",NA,NA
"control","s399","3",NA,NA
"control","s399","4",NA,NA
"control","s400","1",NA,NA
"control","s400","2",NA,NA
"control","s400","3",NA,NA
"control","s400","4",NA,NA
"control","s401","5",NA,NA
"control","s401","6",NA,NA
"control","s401","7",NA,NA
"control","s401","8",NA,NA
"control","s402","5",13,"It is about various physical factors which can be linked to Parkinson's disease"
"control","s402","6",17,"It is about how solar energy still only accounts for a small fraction of global power generation"
"control","s402","7",16,"Ballot measures related to climate change will be voted on during upcoming elections in various countries"
"control","s402","8",25,"It is about various unrelated topics - an interview with a famous oceanographer, climate science as it relates to car manufacturers, and a seasonal weather forecast"
"control","s403","1",NA,NA
"control","s403","2",NA,NA
"control","s403","3",NA,NA
"control","s403","4",NA,NA
"control","s404","5",NA,NA
"control","s404","6",NA,NA
"control","s404","7",NA,NA
"control","s404","8",NA,NA
"control","s405","1",17,"Apparently cardiovascular fitness in middle-aged women aren't as likely to develop dementia, says a Swedish study."
"control","s405","2",16,"Stress free lifestyle changes can remove atherosclerotic plaques and help stabilize them to prevent heart attacks."
"control","s405","3",10,"Carbon taxes and renewable energy were on the voters' ballots."
"control","s405","4",13,"There was not a joint agreement within the Arctic Council concerning climate change."
"control","s406","1",NA,NA
"control","s406","2",NA,NA
"control","s406","3",NA,NA
"control","s406","4",NA,NA
"control","s407","1",NA,NA
"control","s407","2",NA,NA
"control","s407","3",NA,NA
"control","s407","4",NA,NA
"control","s408","1",NA,NA
"control","s408","2",NA,NA
"control","s408","3",NA,NA
"control","s408","4",NA,NA
"control","s409","1",NA,NA
"control","s409","2",NA,NA
"control","s409","3",NA,NA
"control","s409","4",NA,NA
"control","s410","10",NA,NA
"control","s410","11",NA,NA
"control","s410","12",NA,NA
"control","s410","9",NA,NA
"control","s411","1",NA,NA
"control","s411","2",NA,NA
"control","s411","3",NA,NA
"control","s411","4",NA,NA
"control","s412","5",NA,NA
"control","s412","6",NA,NA
"control","s412","7",NA,NA
"control","s412","8",NA,NA
"control","s413","10",NA,NA
"control","s413","11",NA,NA
"control","s413","12",NA,NA
"control","s413","9",NA,NA
"control","s414","1",NA,NA
"control","s414","2",NA,NA
"control","s414","3",NA,NA
"control","s414","4",NA,NA
"control","s415","5",4,"comparing meats and cholesterol"
"control","s415","6",4,"EU climate target fails"
"control","s415","7",4,"US drilling in Arctic"
"control","s415","8",7,"supplements don't help to recover after exercise"
"control","s416","10",NA,NA
"control","s416","11",NA,NA
"control","s416","12",NA,NA
"control","s416","9",NA,NA
"control","s417","5",6,"Deli meats may contribute to cancer."
"control","s417","6",8,"An article on what/what not to recycle"
"control","s417","7",17,"What we think is being recycled may not be due to China discontinuing recycling of foreign garbage."
"control","s417","8",11,"Plastic trash is growing in Pacific Ocean between California and Hawaii."
"control","s418","1",NA,NA
"control","s418","2",NA,NA
"control","s418","3",NA,NA
"control","s418","4",NA,NA
"control","s419","1",NA,NA
"control","s419","2",NA,NA
"control","s419","3",NA,NA
"control","s419","4",NA,NA
"control","s420","5",NA,NA
"control","s420","6",NA,NA
"control","s420","7",NA,NA
"control","s420","8",NA,NA
"control","s421","1",13,"Despite scientific information, some people are denying climate change is affecting polar bears."
"control","s421","2",15,"The world has a problem with plastic because it doesn't degrade and pollutes the environment."
"control","s421","3",11,"Sleep Apnea is on the rise because the countries weight problem."
"control","s421","4",12,"We must adapt to limit ranges of wildfires caused by climate change."
"control","s422","5",NA,NA
"control","s422","6",NA,NA
"control","s422","7",NA,NA
"control","s422","8",NA,NA
"control","s423","5",13,"The link between fitness and dementia is interesting and actionable for many people"
"control","s423","6",12,"Protein from plants is better for you and reduces your cardiovascular risk"
"control","s423","7",16,"More and more people running for office are promoting climate change as part of their platform"
"control","s423","8",17,"Global warning is causing more dangerous rains but we're getting better about keeping people out of danger"
"control","s424","5",NA,NA
"control","s424","6",NA,NA
"control","s424","7",NA,NA
"control","s424","8",NA,NA
"control","s425","5",NA,NA
"control","s425","6",NA,NA
"control","s425","7",NA,NA
"control","s425","8",NA,NA
"control","s426","5",NA,NA
"control","s426","6",NA,NA
"control","s426","7",NA,NA
"control","s426","8",NA,NA
"control","s427","5",24,"This article discusses increased precipitation due to climate change. It also talks about our ability to evacuate flood zones due to more frequent flooding."
"control","s427","6",28,"This article discuses the fact that the U.S. chose to block a joint declaration on climate change from the Artic Council. This was the first time this happened."
"control","s427","7",16,"This article discusses how various climate change initiatives fared on the ballot during an election year."
"control","s427","8",22,"This article discusses the future of some ancient Mediterranean sites and how they might not continue to exist due to climate change."
"control","s428","5",5,"Algae blooms are killing wildlife"
"control","s428","6",14,"People of all ages are fed up with how poorly the earth is treated"
"control","s428","7",9,"CBD, despite having widespread adoption, is still relatively unknown."
"control","s428","8",9,"Both plastic bags and paper bags have down sides"
"control","s429","10",NA,NA
"control","s429","11",NA,NA
"control","s429","12",NA,NA
"control","s429","9",NA,NA
"control","s430","1",7,"Giving Americans vouchers to buy electric vehicles."
"control","s430","2",9,"Being overweight can lead to high rate of cancer."
"control","s430","3",9,"AI can be used to help diagnose breast cancer."
"control","s430","4",8,"If gut bacteria can help us run faster."
"control","s431","10",14,"Consuming drinks full of sugar can lead to many different diseases and early death."
"control","s431","11",13,"Dancing may be the best way to bring youth back to the brain."
"control","s431","12",8,"People with metabolism problems can benefit from probiotics."
"control","s431","9",12,"This article is about ways of staying healthy to avoid kidney stones."
"control","s432","10",NA,NA
"control","s432","11",NA,NA
"control","s432","12",NA,NA
"control","s432","9",NA,NA
"control","s433","5",10,"Classes were skipped today to give awareness to climate change."
"control","s433","6",5,"CBD is not well understood."
"control","s433","7",5,"Obesity leads to cardiovascular disease."
"control","s433","8",12,"Working out can lead to eating more, which can hamper weight loss."
"control","s434","10",8,"New research suggests gut bacteria could imporve performance."
"control","s434","11",7,"not enough people are insured agaijst disatser."
"control","s434","12",8,"Flavonoids can help prevent cancer and cardiovascular death"
"control","s434","9",9,"Researches created an AI to help treat breast cancer."
"control","s435","5",NA,NA
"control","s435","6",NA,NA
"control","s435","7",NA,NA
"control","s435","8",NA,NA
"control","s436","5",14,"It shows that different lifestyle changes can help to give you a healthier heart."
"control","s436","6",12,"It shows a correlation between solid food and sleep patterns in babies."
"control","s436","7",16,"It talks about more inclement weather brought about by global warming and our response to it."
"control","s436","8",7,"Campaign ads that talk about climate change."
"control","s437","1",25,"This article is about a before-school exercise program, called BOKS, which includes running, calisthenics, and group games, which makes children happier and more energetic."
"control","s437","2",25,"This article is about the rate at which we slow as we age, and how it may not be as drastic as many people think."
"control","s437","3",20,"This article is about how products like perfume, pesticides and paint contribute to air pollution as much as cars do."
"control","s437","4",30,"This article is about how companies can expect to see the effects of climate change impacting their bottom lines within the next 5 years, at a projected one trillion dollars."
"control","s438","1",21,"How land will be worth more because it is somehow oceanfront. Just ignore the buildings though underwater in front of it."
"control","s438","2",10,"Its an article try to say buy paper over plastic"
"control","s438","3",6,"Whatever CBD is it's now everywhere."
"control","s438","4",10,"It's about using heart monitors and somehow making it fun."
"control","s439","1",NA,NA
"control","s439","2",NA,NA
"control","s439","3",NA,NA
"control","s439","4",NA,NA
"control","s440","10",10,"Plastic and paper bags both have their pros and cons"
"control","s440","11",8,"CBD is seen as the new snake oil."
"control","s440","12",6,"Toxic algae is killing Florida wildlife."
"control","s440","9",10,"Being fit and exercising regularly leads to a longer life."
"control","s441","10",9,"People should skip breakfast before exercise to lose weight."
"control","s441","11",8,"Some supplements can be dangerous to your health."
"control","s441","12",15,"You can avoid wasting food by only buying the produce you will cook for dinner."
"control","s441","9",21,"Scientists this week had a busy week including studies about climate change and giving tips on how to reduce food waste."
"control","s442","10",NA,NA
"control","s442","11",NA,NA
"control","s442","12",NA,NA
"control","s442","9",NA,NA
"control","s443","5",NA,NA
"control","s443","6",NA,NA
"control","s443","7",NA,NA
"control","s443","8",NA,NA
"control","s444","5",13,"about being in good shape so you can live a long healthy life"
"control","s444","6",14,"its telling you both types of bags have down sides and what they are"
"control","s444","7",13,"its about key ways to exercise and what might be the best ways"
"control","s444","8",12,"a federal program to pay for conservation after years in the works"
"control","s445","10",NA,NA
"control","s445","11",NA,NA
"control","s445","12",NA,NA
"control","s445","9",7,"Eating processed meats can cause colorectal cancer."
"control","s446","5",NA,NA
"control","s446","6",NA,NA
"control","s446","7",NA,NA
"control","s446","8",NA,NA
"control","s447","10",NA,NA
"control","s447","11",NA,NA
"control","s447","12",NA,NA
"control","s447","9",NA,NA
"control","s448","10",NA,NA
"control","s448","11",NA,NA
"control","s448","12",NA,NA
"control","s448","9",NA,NA
"control","s449","5",NA,NA
"control","s449","6",NA,NA
"control","s449","7",NA,NA
"control","s449","8",NA,NA
"control","s450","5",16,"This article seems to address the issue of whether children's weight problems are related to parenting."
"control","s450","6",16,"This seems to be about research into how much people actually know about genetically modified organisms."
"control","s450","7",18,"This article seems to be about one very rich person's influence on the success of the coal industry."
"control","s450","8",14,"This article seems to be about how accidents can be related to hearing loss."
"control","s451","1",NA,NA
"control","s451","2",NA,NA
"control","s451","3",NA,NA
"control","s451","4",NA,NA
"control","s452","10",12,"The pharaohs of Egypt were unable to adapt to a changing climate."
"control","s452","11",8,"Climate change is causing fires around the world."
"control","s452","12",11,"Scientists worry that larger avalanches will be triggered by climate change."
"control","s452","9",11,"Increasing your exercise intensity will help you live a longer life."
"control","s453","10",NA,NA
"control","s453","11",NA,NA
"control","s453","12",NA,NA
"control","s453","9",NA,NA
"control","s454","1",NA,NA
"control","s454","2",NA,NA
"control","s454","3",NA,NA
"control","s454","4",NA,NA
"control","s455","1",NA,NA
"control","s455","2",NA,NA
"control","s455","3",NA,NA
"control","s455","4",NA,NA
"control","s456","10",NA,NA
"control","s456","11",NA,NA
"control","s456","12",NA,NA
"control","s456","9",NA,NA
"control","s457","5",NA,NA
"control","s457","6",NA,NA
"control","s457","7",NA,NA
"control","s457","8",NA,NA
"control","s458","10",NA,NA
"control","s458","11",NA,NA
"control","s458","12",NA,NA
"control","s458","9",NA,NA
"control","s459","5",NA,NA
"control","s459","6",NA,NA
"control","s459","7",NA,NA
"control","s459","8",NA,NA
"self","s001","10",NA,NA
"self","s001","11",NA,NA
"self","s001","12",NA,NA
"self","s001","9",NA,NA
"self","s002","10",37,"This article matters to me because I've actually already noticed a similar trend when I'm walking in an urban area versus a suburban area and noticed I stay in better shape when I am in urban environments."
"self","s002","11",29,"This article matters to me because I am a runner and it's interesting to think I may not have to give it up as much as I think now."
"self","s002","12",29,"This article matters to me because although neither my partner nor myself suffers from an eating disorder I try to stay informed so I am not insensitive to others."
"self","s002","9",25,"This article matters to me because I am always looking for alternatives to disposable items and try to reuse things as much as I can."
"self","s003","1",NA,NA
"self","s003","2",NA,NA
"self","s003","3",NA,NA
"self","s003","4",NA,NA
"self","s004","5",NA,NA
"self","s004","6",NA,NA
"self","s004","7",NA,NA
"self","s004","8",NA,NA
"self","s005","10",NA,NA
"self","s005","11",NA,NA
"self","s005","12",NA,NA
"self","s005","9",NA,NA
"self","s006","1",NA,NA
"self","s006","2",NA,NA
"self","s006","3",NA,NA
"self","s006","4",NA,NA
"self","s007","1",NA,NA
"self","s007","2",NA,NA
"self","s007","3",NA,NA
"self","s007","4",NA,NA
"self","s008","5",16,"It's important to me because I can understand why I have so many fillings from childhood."
"self","s008","6",13,"I hate to waste any food, so this seems like an interesting article."
"self","s008","7",11,"This is actually not personally relevant as I am a vegetarian."
"self","s008","8",15,"I would be interested in understanding if any of the lab-grown meat is vegetarian."
"self","s009","1",29,"This article matters to me personally because I am a citizen of the US and the actions our leadership takes on global issues reflects upon me as a citizen."
"self","s009","2",27,"This article matters to me because I recently have tried to give up sugary drinks and I do have belly fat that I would like to eliminate."
"self","s009","3",23,"This matters to me personally because I am a citizen who lives in a country that is being effected by storming getting worse."
"self","s009","4",19,"I think this article matters to me because I like to know about candidates before I make a decision."
"self","s010","5",NA,NA
"self","s010","6",NA,NA
"self","s010","7",NA,NA
"self","s010","8",NA,NA
"self","s011","1",25,"I think they say that diet is 80% food intake and 20% movement. It is important to watch what we are putting in our bodies!"
"self","s011","2",13,"I am glad I never smoked, but more reason to become more active!"
"self","s011","3",27,"Climate change is happening and we need to hold ourselves and big business accountable! I don't want to be underwater or have to move in 20 years!"
"self","s011","4",21,"I find this sort of protest from our youth incredibly powerful! I wish there was more I did in my adolescents!"
"self","s012","5",NA,NA
"self","s012","6",NA,NA
"self","s012","7",NA,NA
"self","s012","8",NA,NA
"self","s013","1",NA,NA
"self","s013","2",NA,NA
"self","s013","3",NA,NA
"self","s013","4",NA,NA
"self","s014","5",NA,NA
"self","s014","6",NA,NA
"self","s014","7",NA,NA
"self","s014","8",NA,NA
"self","s015","5",10,"It could affect my future in eating lab grown meat"
"self","s015","6",11,"It would teach me how to reduce my holiday food waste"
"self","s015","7",26,"It tells me that I would avoid wasting food if I only bought product for that night's dinner, which would be hard for me to do."
"self","s015","8",16,"My wife is pregnant so I could share this information with her to help our babies"
"self","s016","5",NA,NA
"self","s016","6",NA,NA
"self","s016","7",NA,NA
"self","s016","8",NA,NA
"self","s017","1",NA,NA
"self","s017","2",NA,NA
"self","s017","3",NA,NA
"self","s017","4",NA,NA
"self","s018","10",NA,NA
"self","s018","11",NA,NA
"self","s018","12",NA,NA
"self","s018","9",NA,NA
"self","s019","10",NA,NA
"self","s019","11",NA,NA
"self","s019","12",NA,NA
"self","s019","9",NA,NA
"self","s020","10",43,"It's relevant in that I would like to eat more healthy in general, not necessarily to lose weight, and this seems to be a good way to accomplish that goal too - even though I like the things it says to cut back on."
"self","s020","11",42,"It does matter because I do recycle things like plastics, paper, aluminum, etc., but I can't do anything about it personally, so in that sense it doesn't matter. I would like the information regardless, and maybe the article will have some solutions."
"self","s020","12",54,"Riding my bike with my dog is something I used to like to do occasionally when I lived by a park with a trail for bike riding, so if the article explained more of a health incentive to do it, I might find a way to do that more often where I live now."
"self","s020","9",54,"I don't go swimming, and only occasionally ride my bike, so I might still read it for that information. But it's hard for me to imagine a type of exercise putting ""too little"" pressure on bones - never heard of that concept, and my bones (knees) definitely sometimes feel worn out after riding my bike."
"self","s021","5",NA,NA
"self","s021","6",NA,NA
"self","s021","7",NA,NA
"self","s021","8",NA,NA
"self","s022","10",NA,NA
"self","s022","11",NA,NA
"self","s022","12",NA,NA
"self","s022","9",NA,NA
"self","s023","5",NA,NA
"self","s023","6",NA,NA
"self","s023","7",NA,NA
"self","s023","8",NA,NA
"self","s024","10",6,"The coal industries power is scary."
"self","s024","11",16,"Lab-grown meat might be a long term solution for emissions created by the beef industry."
"self","s024","12",13,"Decreasing meat in your diet period is better than switching to white meat."
"self","s024","9",14,"I do this anyway because I have no appetite first thing in the morning."
"self","s025","10",NA,NA
"self","s025","11",NA,NA
"self","s025","12",NA,NA
"self","s025","9",NA,NA
"self","s026","1",NA,NA
"self","s026","2",NA,NA
"self","s026","3",NA,NA
"self","s026","4",NA,NA
"self","s027","5",33,"We are failing, worldwide, to slow climate change, which is going to mean a difficult future for marginalized people and people in the lower classes, like myself.  We will be hit hardest, first."
"self","s027","6",23,"Interesting talks about lab meat might give me new options for helping do my part in climate change.  Looking forward to trying it."
"self","s027","7",25,"I've been wondering if meat consumption is as big of a problem as suspected - this article might provide important information.  Also, Trump disappoints yet again."
"self","s027","8",27,"I'm always curious what I should and shouldn't eat and drink, for different situations.  It's hard to parse all the data, but here's more to sift through."
"self","s028","1",NA,NA
"self","s028","2",NA,NA
"self","s028","3",NA,NA
"self","s028","4",NA,NA
"self","s029","5",NA,NA
"self","s029","6",NA,NA
"self","s029","7",NA,NA
"self","s029","8",NA,NA
"self","s030","10",NA,NA
"self","s030","11",NA,NA
"self","s030","12",NA,NA
"self","s030","9",NA,NA
"self","s031","10",NA,NA
"self","s031","11",NA,NA
"self","s031","12",NA,NA
"self","s031","9",NA,NA
"self","s032","10",6,"i want to lose weight quickly"
"self","s032","11",10,"i like eating deli meats, maybe i should cut back"
"self","s032","12",5,"i may be recycling inefficiently"
"self","s032","9",8,"i can reduce symptoms of aging by exercise"
"self","s033","10",NA,NA
"self","s033","11",NA,NA
"self","s033","12",NA,NA
"self","s033","9",NA,NA
"self","s034","10",NA,NA
"self","s034","11",NA,NA
"self","s034","12",NA,NA
"self","s034","9",NA,NA
"self","s035","1",NA,NA
"self","s035","2",NA,NA
"self","s035","3",NA,NA
"self","s035","4",NA,NA
"self","s036","5",NA,NA
"self","s036","6",NA,NA
"self","s036","7",NA,NA
"self","s036","8",NA,NA
"self","s037","1",10,"Climate change affects everyone and we should all be concerned."
"self","s037","2",12,"I'm very interested in anyone doing their part to combat climate change."
"self","s037","3",23,"Being one of the most important issues to me, I would definitely want to know any information on a candidate's climate change stance."
"self","s037","4",8,"I'm interested in any alternatives to fossil fuels."
"self","s038","1",NA,NA
"self","s038","2",NA,NA
"self","s038","3",NA,NA
"self","s038","4",NA,NA
"self","s039","1",NA,NA
"self","s039","2",NA,NA
"self","s039","3",NA,NA
"self","s039","4",NA,NA
"self","s040","10",NA,NA
"self","s040","11",NA,NA
"self","s040","12",NA,NA
"self","s040","9",NA,NA
"self","s041","10",16,"I try not to eat a lot of meat so this article confirms the health risks"
"self","s041","11",8,"I would love to have an electric car!"
"self","s041","12",15,"Matters to me to grow my knowledge base, I don't know much on this subject"
"self","s041","9",25,"Staying home, such as for work has its benefits but I see the cons as well. This matters to me personally because it impacts me"
"self","s042","1",27,"I'm 60! I can't take health for granted any more. It's timely and relevant because I've been wondering whether to push myself harder on the exercise program."
"self","s042","2",13,"It's only of historical interest, but opportunities to learn always matter to me."
"self","s042","3",15,"I have a family history of heart disease and a love of Mexican Coca-Cola."
"self","s042","4",16,"I've had a kidney stone and the pain was remarkable. Prevention is highly relevant to me."
"self","s043","5",36,"My mother is very uncomfortable with her own body and passed her insecurities down to me and my sister. She targets my sister particularly because my sister became overweight, and I want to protect my sister."
"self","s043","6",9,"I want to remain aware of climate change news."
"self","s043","7",16,"Climate change should not be a political issue - it is a matter of science, not opinion."
"self","s043","8",6,"I don't know anything about GMO's."
"self","s044","5",NA,NA
"self","s044","6",NA,NA
"self","s044","7",NA,NA
"self","s044","8",NA,NA
"self","s045","1",NA,NA
"self","s045","2",NA,NA
"self","s045","3",NA,NA
"self","s045","4",NA,NA
"self","s046","10",NA,NA
"self","s046","11",NA,NA
"self","s046","12",NA,NA
"self","s046","9",NA,NA
"self","s047","5",NA,NA
"self","s047","6",NA,NA
"self","s047","7",NA,NA
"self","s047","8",NA,NA
"self","s048","1",NA,NA
"self","s048","2",NA,NA
"self","s048","3",NA,NA
"self","s048","4",NA,NA
"self","s049","1",NA,NA
"self","s049","2",NA,NA
"self","s049","3",NA,NA
"self","s049","4",NA,NA
"self","s050","10",NA,NA
"self","s050","11",NA,NA
"self","s050","12",NA,NA
"self","s050","9",NA,NA
"self","s051","5",NA,NA
"self","s051","6",NA,NA
"self","s051","7",NA,NA
"self","s051","8",NA,NA
"self","s052","10",NA,NA
"self","s052","11",NA,NA
"self","s052","12",NA,NA
"self","s052","9",NA,NA
"self","s053","5",14,"It matters to me because I want to try to live a long life."
"self","s053","6",11,"It is important to me because cancer runs in my family."
"self","s053","7",10,"It matters to me because I think activism is important."
"self","s053","8",11,"It matters to me because climate change is effecting us now."
"self","s054","5",NA,NA
"self","s054","6",NA,NA
"self","s054","7",NA,NA
"self","s054","8",NA,NA
"self","s055","1",NA,NA
"self","s055","2",NA,NA
"self","s055","3",NA,NA
"self","s055","4",NA,NA
"self","s056","5",NA,NA
"self","s056","6",NA,NA
"self","s056","7",NA,NA
"self","s056","8",NA,NA
"self","s057","10",6,"This doesn't matter to me personally."
"self","s057","11",6,"I am interested in climate change."
"self","s057","12",8,"I am concerned about my diet and health."
"self","s057","9",8,"This matters to me because of climate effects."
"self","s058","10",NA,NA
"self","s058","11",NA,NA
"self","s058","12",NA,NA
"self","s058","9",NA,NA
"self","s059","1",NA,NA
"self","s059","2",NA,NA
"self","s059","3",NA,NA
"self","s059","4",NA,NA
"self","s060","5",NA,NA
"self","s060","6",NA,NA
"self","s060","7",NA,NA
"self","s060","8",NA,NA
"self","s061","1",NA,NA
"self","s061","2",NA,NA
"self","s061","3",NA,NA
"self","s061","4",NA,NA
"self","s062","10",NA,NA
"self","s062","11",NA,NA
"self","s062","12",NA,NA
"self","s062","9",NA,NA
"self","s063","10",12,"we are making improvements on solar power but still a tiny fraction"
"self","s063","11",9,"what t are automakers doing to help climate change"
"self","s063","12",18,"i love to cook, and sometimes I think if i am getting the most nutrients of the food"
"self","s063","9",9,"a guide to reduce carbon footprint according to environmentalists"
"self","s064","5",35,"I live in a flood prone region and do not have flood insurance, as my lender does not require it in the type of zone I'm in.  But it's something I think about getting often."
"self","s064","6",28,"I live in a flood prone region that often has heavy rains and hurricanes.  We also went through a catastrophic flood several years ago so this hits home."
"self","s064","7",32,"This is happening in my area now as well.  So many neighborhoods are going up in flood prone areas and many are fighting against it because it can affect their existing neighborhoods."
"self","s064","8",17,"I'm part of that trend of staying home more and saving energy, so this resonates with me"
"self","s065","5",NA,NA
"self","s065","6",NA,NA
"self","s065","7",NA,NA
"self","s065","8",NA,NA
"self","s066","10",6,"climate change... will ruin my future."
"self","s066","11",14,"australia is a third world country, economically. and theyre ruining the world with this."
"self","s066","12",10,"my muscles get sore after exercise and i like antioxidants"
"self","s066","9",6,"climate change will ruin my future"
"self","s067","10",24,"I live on the Gulf Coast, so flooding is a big concern each year. It also affects pricing for rental insurance and other things."
"self","s067","11",15,"I'm always at home, so I'm curious to know how theoretically increased usage saves energy."
"self","s067","12",16,"I think it's important for kids to get time for active play, exercise, and other recreation."
"self","s067","9",11,"This might be helpful if I could ever afford a car."
"self","s068","1",NA,NA
"self","s068","2",NA,NA
"self","s068","3",NA,NA
"self","s068","4",NA,NA
"self","s069","5",NA,NA
"self","s069","6",NA,NA
"self","s069","7",NA,NA
"self","s069","8",NA,NA
"self","s070","5",NA,NA
"self","s070","6",NA,NA
"self","s070","7",NA,NA
"self","s070","8",NA,NA
